公称直径,英制管外径,公制管直径,螺纹规格,最小刮孔直径Y,刮孔深度Smax, 最小直径O,O圈座直径U,O圈座深度K,最小直径D ,Z,底孔直径,螺纹小径,标准钻孔深度P,最小钻孔深P,最小螺纹深度J,AS568,内径x线径
1/8,3.18,4,5/16-24UNF-2B,17,1.6,11,9.15,2.1,1.6,12,6.80,6.782-7.036,16.66,12.0,10.0,902,6.07±0.13X1.63±0.08
3/16,4.76,5,3/8-24UNF-2B,19,1.6,13,10.75,2.1,3.2,12,8.30,8.382-8.636,16.66,12.0,10.0,903,7.65±0.13X1.63±0.08
1/4,6.35,6,7/16-20UNF-2B,21,1.6,15,12.45,2.6,4.4,12,9.50,9.728-10.033,19.46,14.0,11.5,904,8.92±0.13X1.83±0.08
5/16,7.94,8,1/2-20UNF-2B,23,1.6,16,14.05,2.6,5.9,12,11.10,11.328-11.608,19.46,14.0,11.5,905,10.52±0.13X1.83±0.08
3/8,9.52,10,9/16-18UNF-2B,25,1.6,18,15.70,2.7,7.5,12,12.30,12.751-13.081,21.44,15.5,12.7,906,11.89±0.13X1.98±0.08
1/2,12.70,12,3/4-16UNF-2B,30,2.4,22,20.65,2.7,9.9,15,17.00,17.323-17.678,23.83,17.5,14.3,908,16.36±0.23X2.21±0.08
5/8,15.88,16,7/8-14UNF-2B,34,2.4,26,24.00,2.7,12.3,15,20.20,20.269-20.676,27.38,20.0,16.7,910,19.18±0.23X2.56±0.08
3/4,19.05,20,1 1/16-12UN-2B,41,2.4,32,29.20,3.5,15.5,15,24.60,24.689-25.146,31.34,23.0,19.0,912,23.47±0.23X2.95±0.10
7/8,22.22,22,1 3/16-12UN-2B,45,2.4,35,32.40,3.5,18.3,15,27.80,27.864-28.321,31.34,23.0,19.0,914,26.59±0.26X2.95±0.10
1,25.40,25,1 5/16-12UN-2B,49,3.2,38,35.55,3.5,21.4,15,31.00,31.039-31.496,31.34,23.0,19.0,916,29.74±0.26X2.95±0.10
1-1/4,31.75,30,1 5/8-12UN-2B,58,3.2,48,43.55,3.5,27.4,15,38.90,38.989-39.446,31.34,23.0,19.0,920,37.47±0.36X3±0.10
1-1/2,38.10,38,1 7/8-12UN-2B,65,3.2,54,49.90,3.5,33.3,15,45.20,45.339-45.796,31.34,23.0,19.0,924,43.69±0.36X3±0.10
1 9/16,39.70,40,2-12UN-2B,76,3.2,57,53.10,3.5,35.1,15,47.60,48.514-48.971,31.34,23.0,19.0,-,-
1-3/4,44.45,45,2 1/4-12UN-2B,76,3.2,64,59.50,3.5,43.4,15,54.80,54.864-55.321,31.34,23.0,19.0,928,59.09±0.46X3±0.10
2,50.80,50,2 1/2-12UN-2B,88,3.2,70,65.75,3.5,45.2,15,61.10,61.214-61.671,31.34,23.0,19.0,932,59.36±0.46X3±0.10
